GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.repository,MedicalRecordsProxy,0,121,2,14,0,29,2,12,0,6
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.repository,FirestationsProxy,25,128,6,13,6,31,4,12,0,6
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.repository,PersonsProxy,15,137,5,17,5,34,5,15,0,6
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.repository,RecoveredData,14,30,0,0,5,9,3,2,3,2
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.repository,ExtraProxy,40,1244,5,93,16,272,5,53,0,9
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts,SafetyNetAlerts,5,3,0,0,2,1,1,1,1,1
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.config,DataSources,98,17,22,0,0,3,15,5,4,5
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.config,DataConfig,0,13,0,0,0,4,0,2,0,2
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.service,FirestationService,0,24,0,0,0,5,0,5,0,5
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.service,PersonService,0,25,0,0,0,5,0,5,0,5
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.service,ExtraService,0,37,0,0,0,8,0,8,0,8
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.service,MedicalRecordService,0,26,0,0,0,5,0,5,0,5
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.controller,MedicalRecordController,8,18,0,0,1,4,1,4,1,4
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.controller,ExtraController,0,37,0,0,0,8,0,8,0,8
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.controller,PersonController,0,25,0,0,0,5,0,5,0,5
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.controller,FirestationController,0,24,0,0,0,5,0,5,0,5
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.model,Firestation,66,49,16,6,0,3,12,8,2,7
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.model,MedicalRecord,127,108,32,14,0,6,24,14,2,13
SafetyNetAlerts,com.safetynetalerts.SafetyNetAlerts.model,Person,151,164,42,20,0,8,30,20,1,18
